title,url,date,company,stock_name,stock_code,pdf_link,success,path,error
"1Q25 Review: 호실적, 설비투자 vs 블록딜",https://finance.naver.comcompany_read.naver?nid=82725&page=1,25.05.02,교보증권,한화오션,042660,https://stock.pstatic.net/stock-research/company/34/20250502_company_890700000.pdf,True,./test/pdf_reports/교보증권_한화오션_250502_1Q25 Review 호실적 설비투자 vs 블록딜.pdf,
"낭만의 방산주, 낭만의 KF-21",https://finance.naver.comcompany_read.naver?nid=82724&page=1,25.05.02,교보증권,한국항공우주,047810,https://stock.pstatic.net/stock-research/company/34/20250502_company_750686000.pdf,True,./test/pdf_reports/교보증권_한국항공우주_250502_낭만의 방산주 낭만의 KF-21.pdf,
1Q 호실적과 유상증자 구조 변경으로 TP 상향,https://finance.naver.comcompany_read.naver?nid=82723&page=1,25.05.02,DS투자증권,한화에어로스페이스,012450,https://stock.pstatic.net/stock-research/company/66/20250502_company_435876000.pdf,True,./test/pdf_reports/DS투자증권_한화에어로스페이스_250502_1Q 호실적과 유상증자 구조 변경으로 TP 상향.pdf,
안정적 실적 기반 유지,https://finance.naver.comcompany_read.naver?nid=82722&page=1,25.05.02,DS투자증권,삼성물산,028260,https://stock.pstatic.net/stock-research/company/66/20250502_company_889633000.pdf,True,./test/pdf_reports/DS투자증권_삼성물산_250502_안정적 실적 기반 유지.pdf,
신사업은 성장의 필요조건,https://finance.naver.comcompany_read.naver?nid=82721&page=1,25.05.02,DS투자증권,현대위아,011210,https://stock.pstatic.net/stock-research/company/66/20250502_company_218843000.pdf,True,./test/pdf_reports/DS투자증권_현대위아_250502_신사업은 성장의 필요조건.pdf,
Ni95 나가신다 길을 비켜라,https://finance.naver.comcompany_read.naver?nid=82720&page=1,25.05.02,DS투자증권,엘앤에프,066970,https://stock.pstatic.net/stock-research/company/66/20250502_company_653492000.pdf,True,./test/pdf_reports/DS투자증권_엘앤에프_250502_Ni95 나가신다 길을 비켜라.pdf,
하반기를 기다리며,https://finance.naver.comcompany_read.naver?nid=82719&page=1,25.05.02,DS투자증권,LG에너지솔루션,373220,https://stock.pstatic.net/stock-research/company/66/20250502_company_763031000.pdf,True,./test/pdf_reports/DS투자증권_LG에너지솔루션_250502_하반기를 기다리며.pdf,
Next Level에 들어서다,https://finance.naver.comcompany_read.naver?nid=82718&page=1,25.05.02,DS투자증권,두산,000150,https://stock.pstatic.net/stock-research/company/66/20250502_company_608673000.pdf,True,./test/pdf_reports/DS투자증권_두산_250502_Next Level에 들어서다.pdf,
1Q25 Re: 하반기가 변수,https://finance.naver.comcompany_read.naver?nid=82717&page=1,25.05.02,DS투자증권,삼성전자,005930,https://stock.pstatic.net/stock-research/company/66/20250502_company_316214000.pdf,True,./test/pdf_reports/DS투자증권_삼성전자_250502_1Q25 Re 하반기가 변수.pdf,
[1Q25 Review] 앞으로의 실적과 수출 모멘텀..,https://finance.naver.comcompany_read.naver?nid=82716&page=1,25.05.02,한화투자증권,한국항공우주,047810,https://stock.pstatic.net/stock-research/company/16/20250502_company_437148000.pdf,True,./test/pdf_reports/한화투자증권_한국항공우주_250502_1Q25 Review 앞으로의 실적과 수출 모멘텀.pdf,
