title,url,date,company,stock_name,stock_code,pdf_link,success,path,skip,error
2Q25 Pre: 해외사업 구조적 성장으로 서프라..,https://finance.naver.comcompany_read.naver?nid=84512&page=1,25.07.18,DS투자증권,녹십자,006280,https://stock.pstatic.net/stock-research/company/66/20250718_company_685284000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/DS투자증권_녹십자_250718_2Q25 Pre 해외사업 구조적 성장으로 서프라.pdf,True,
명백히 보이는 슈퍼사이클 진입 가능성,https://finance.naver.comcompany_read.naver?nid=84511&page=1,25.07.18,DS투자증권,넷마블,251270,https://stock.pstatic.net/stock-research/company/66/20250718_company_561389000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/DS투자증권_넷마블_250718_명백히 보이는 슈퍼사이클 진입 가능성.pdf,True,
2Q25 Preview: 실적 회복과 SMR은 순항 중,https://finance.naver.comcompany_read.naver?nid=84510&page=1,25.07.18,교보증권,DL이앤씨,375500,https://stock.pstatic.net/stock-research/company/34/20250718_company_790704000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/교보증권_DL이앤씨_250718_2Q25 Preview 실적 회복과 SMR은 순항 중.pdf,True,
2Q25 Preview: 견고한 실적 증명,https://finance.naver.comcompany_read.naver?nid=84509&page=1,25.07.18,교보증권,HL만도,204320,https://stock.pstatic.net/stock-research/company/34/20250718_company_203291000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/교보증권_HL만도_250718_2Q25 Preview 견고한 실적 증명.pdf,True,
내수 회복과 인바운드 모멘텀까지,https://finance.naver.comcompany_read.naver?nid=84508&page=1,25.07.18,하나증권,현대백화점,069960,https://stock.pstatic.net/stock-research/company/57/20250718_company_572231000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/하나증권_현대백화점_250718_내수 회복과 인바운드 모멘텀까지.pdf,True,
2분기 양호한 실적 기록 전망,https://finance.naver.comcompany_read.naver?nid=84507&page=1,25.07.18,하나증권,ISC,095340,https://stock.pstatic.net/stock-research/company/57/20250718_company_536743000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/하나증권_ISC_250718_2분기 양호한 실적 기록 전망.pdf,True,
불확실성 속 선방 기대,https://finance.naver.comcompany_read.naver?nid=84506&page=1,25.07.18,한화투자증권,이노션,214320,https://stock.pstatic.net/stock-research/company/16/20250718_company_691231000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/한화투자증권_이노션_250718_불확실성 속 선방 기대.pdf,True,
K-애슬레저 선두주자 & 해외진출의 선구자,https://finance.naver.comcompany_read.naver?nid=84505&page=1,25.07.18,유안타증권,젝시믹스,337930,https://stock.pstatic.net/stock-research/company/18/20250718_company_404496000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_젝시믹스_250718_K-애슬레저 선두주자  해외진출의 선구자.pdf,True,
2Q25 Preview: 벌크 부진 속 LNG 고성장,https://finance.naver.comcompany_read.naver?nid=84504&page=1,25.07.18,유안타증권,팬오션,028670,https://stock.pstatic.net/stock-research/company/18/20250718_company_68307000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유안타증권_팬오션_250718_2Q25 Preview 벌크 부진 속 LNG 고성장.pdf,True,
이렇게 올랐는데 사도 돼요? 네.,https://finance.naver.comcompany_read.naver?nid=84503&page=1,25.07.18,유진투자증권,파인엠텍,441270,https://stock.pstatic.net/stock-research/company/1/20250718_company_841733000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유진투자증권_파인엠텍_250718_이렇게 올랐는데 사도 돼요 네.pdf,True,
아이온 좋아하세요?,https://finance.naver.comcompany_read.naver?nid=84502&page=1,25.07.18,유진투자증권,엔씨소프트,036570,https://stock.pstatic.net/stock-research/company/63/20250718_company_877933000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/유진투자증권_엔씨소프트_250718_아이온 좋아하세요.pdf,True,
국내 복지몰 1위 사업자,https://finance.naver.comcompany_read.naver?nid=84501&page=1,25.07.18,키움증권,현대이지웰,090850,https://stock.pstatic.net/stock-research/company/39/20250718_company_203419000.pdf,True,/home/etluser/Finsight-service/Consensus-ETL/project/consensus/naver/키움증권_현대이지웰_250718_국내 복지몰 1위 사업자.pdf,True,
