sector_name,date,open,high,low,close,volume,return_rate,volume_change,collected_at
자동차,2025-06-23,1870.85,1874.84,1846.9,1854.68,7030859.0,-3.0582430391126856,-10.528765114401022,2025-06-24 00:30:55.982558
반도체,2025-06-23,3626.93,3657.94,3563.26,3638.62,37480492.0,-1.6182367303236178,-7.790040185596432,2025-06-24 00:30:56.056795
헬스케어,2025-06-23,3876.67,3880.48,3848.52,3873.07,21543569.0,-1.80191372517202,-24.29178244022686,2025-06-24 00:30:56.139672
은행,2025-06-23,1099.79,1122.18,1094.85,1115.39,17340028.0,0.0960226864814563,-43.3255704089096,2025-06-24 00:30:56.215385
에너지화학,2025-06-23,2091.1,2091.1,2045.99,2057.31,9693071.0,-1.2551236884797448,2.4589871084220185,2025-06-24 00:30:56.283265
철강,2025-06-23,2169.56,2247.43,2164.06,2202.84,4704080.0,0.8017132502333746,10.678558135135656,2025-06-24 00:30:56.351238
방송통신,2025-06-23,765.98,782.35,765.98,780.0,6076107.0,1.1725640759572433,102.56417864272389,2025-06-24 00:30:56.410258
건설,2025-06-23,864.33,890.09,864.15,879.24,12951293.0,-0.09771616861720413,-11.976869422940588,2025-06-24 00:30:56.479734
증권,2025-06-23,1298.23,1426.67,1290.25,1370.52,32031268.0,4.133361699541083,68.71825135801491,2025-06-24 00:30:56.553532
기계장비,2025-06-23,1125.82,1159.14,1125.37,1158.39,65865272.0,1.8902278124725134,3.221353293506077,2025-06-24 00:30:56.641866
보험,2025-06-23,2290.24,2324.63,2280.27,2306.11,3935020.0,-0.5408319496258582,-51.393060397181536,2025-06-24 00:30:56.714364
운송,2025-06-23,1207.42,1213.95,1181.07,1189.32,80917103.0,-0.9106436159133566,279.39930106820293,2025-06-24 00:30:56.781288
경기소비재,2025-06-23,1092.18,1098.35,1084.64,1093.55,15025425.0,-1.0200756684346757,-27.18756766155277,2025-06-24 00:30:56.849800
필수소비재,2025-06-23,1449.53,1462.44,1446.43,1455.43,5762343.0,-1.0867053594486964,-42.805397967657896,2025-06-24 00:30:56.917286
미디어&엔터테인먼트,2025-06-23,2311.47,2366.57,2292.78,2359.13,23074454.0,1.6866379310344874,-23.076073745904473,2025-06-24 00:30:56.980423
정보기술,2025-06-23,1439.82,1461.09,1417.65,1455.03,41913257.0,-0.6812240189486773,-8.047790635363427,2025-06-24 00:30:57.040597
유틸리티,2025-06-23,732.68,758.61,724.67,750.57,20600765.0,3.7386665192392843,201.48521321164515,2025-06-24 00:30:57.109683
