title,content,source,url,published_at,collected_at
"GAM ② 스칼러 락, GLP1 약물 부작용 해결 실마리 찾았다",이 기사는 6월 20일 오후 4시59분 해외 주식 투자의 도우미 GAM(Global Asset Management)에 출고된 프리미엄 기사입니다. GAM에서 회원 가입을 하면 9000여 해외 종목의 프리미엄 기사를 보실 수 있습니다. 에서 이어짐 미국...,네이버뉴스,https://www.newspim.com/news/view/20250623001063,2025-06-23 23:10:00+09:00,2025-06-24 00:31:24.036934
"GAM ① 스칼러 락, GLP1 약물 부작용 해결 실마리 찾았다","이 기사는 6월 20일 오후 4시59분 해외 주식 투자의 도우미 GAM(Global Asset Management)에 출고된 프리미엄... 일제히 주식 매수를 추천했다. 이들이 제시한 목표주가 평균은 50.43달러로, 현재 주가에서 38.85의 추가 상승...",네이버뉴스,https://www.newspim.com/news/view/20250623001062,2025-06-23 23:09:00+09:00,2025-06-24 00:31:24.036934
변동성 속 수익 창출 해법 암호화폐 인덱스 펀드ETF 다시 뜬다,"크립토 ETF는 뉴욕증권거래소(NYSE)와 같은 전통 시장에서 거래되는 방식으로, 주식처럼 사고팔 수 있다는 점에서 일반 투자자에게 보다 친숙하다. 일부 ETF는 비트코인 단일 자산에 집중하고, 일부는 다양한 암호화폐를...",네이버뉴스,https://www.tokenpost.kr/news/cryptocurrency/260275,2025-06-23 23:08:00+09:00,2025-06-24 00:31:24.036934
김태웅의역사산책 백범 김구와 효창공원,이어서 1921년에는 만주철도주식회사가 경성 최초로 이곳에 골프장을 개설하여 3년 동안 운영하였으며 1924년에는 경성부가 시민들의 행락지로 활용한다는 효창공원 설치방안을 발표하였다. 또한 1937년 광장이 없다는...,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004045910?sid=110,2025-06-23 23:01:00+09:00,2025-06-24 00:31:24.036934
정승제 quot미분 이용했더니 미국 주식 수익률 너무 좋아quot(문제적남자 리부...,"문제적 남자 리부트 수학편 정승제 강사가 미분으로 미국 주식에서 높은 수익률을 기록한다고 고백했다.... 배성재는 quot미분을 이해하면 세상 원리를 깨칠 수 있냐?quot고 물었고, 정승제는 quot내가 주식 투자를 한 번도 안...",네이버뉴스,https://m.entertain.naver.com/article/109/0005335124,2025-06-23 22:59:00+09:00,2025-06-24 00:31:24.036934
사실상 전쟁 상태에증시원유비트코인 출렁인다,이날 주식시장에선 장 초반 외국인의 대규모 순매도로 장중 한때 3000선이 무너지기도 했다. 다만 개인들이 이후 1조3486억원의 대규모 순매수에 나서면서 코스피는 전 거래일 대비 0.24 하락한 3014.47로 거래를 마쳤다....,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005513581?sid=101,2025-06-23 22:55:00+09:00,2025-06-24 00:31:24.036934
증권가 미래에셋증권 NH투자증권 한화투자증권 DB증권 키움증권 SK증권,"세미나에서는 미국의 유명 애널리스트 톰 리(Tom Lee)가 올해 하반기의 미국 주식 투자전략이라는 주제로... 미국주식 시장 흐름을 반영한 매수 타점 분석 기법, 그리고 청소년도 이해할 수 있는 투자 교육 방법에...",네이버뉴스,http://www.biztribune.co.kr/news/articleView.html?idxno=335974,2025-06-23 22:52:00+09:00,2025-06-24 00:31:24.036934
국내 첫 충전소 화재 예방 시스템 적용 해링턴타워 709에 쏠린 눈,"lt사진제공주식회사 케이피투gt 잇따른 화재 불연재 중요성..골드론 파이어컷 급부상 23일 국내 최초로... lt사진제공주식회사 케이피투gt 김태수 대표 quot대형 사고에도 화재 안전 인식 여전히 부족quot 한편, 건설업계에 30년...",네이버뉴스,http://www.00news.co.kr/news/articleView.html?idxno=95108,2025-06-23 22:50:00+09:00,2025-06-24 00:31:24.036934
"경평發 李 정부 낙하산 신호탄인가 HUG 사장, 2년 연속 낙제에 전격 ...",이번 발표를 보면 D등급은 주택도시보증공사 그랜드코리아레저 주식회사에스알 제주국제자유도시개발센터 대한석탄공사 한국방송광고진흥공사 등 9곳이었다. E등급을 받은 기관은 한국광해광업공단...,네이버뉴스,https://biz.newdaily.co.kr/site/data/html/2025/06/23/2025062300487.html,2025-06-23 22:46:00+09:00,2025-06-24 00:31:24.036934
"뉴욕증시, 이란 대응 주시하며 소폭 하락국제유가는 보합세",이날 뉴욕 주식 시장에서 오전 9시31분 현재 블루칩 중심의 다우존스30산업평균지수(다우지수)는 전 거래일보다 69.57포인트(0.16) 하락한 4만2137.25를 기록 중이다. 대형주 중심의 SampP500지수는 2.83포인트(0.05) 내린 5965.01...,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005611959?sid=101,2025-06-23 22:42:00+09:00,2025-06-24 00:31:24.036934
