currency_pair,rate,change_amount,change_rate,base_date,collected_at
USD/KRW,1379.800048828125,4.9100341796875,0.35712196083866443,2025-06-23,2025-06-24 00:30:35
EUR/KRW,1592.800048828125,9.35009765625,0.5904889920474093,2025-06-23,2025-06-24 00:30:35
JPY/KRW,9.406999588012695,-0.029283523559570312,-0.310329005746534,2025-06-23,2025-06-24 00:30:35
EUR/USD,1.155001163482666,0.0037232637405395508,0.3234026937695513,2025-06-23,2025-06-24 00:30:36
USD/JPY,146.35000610351562,1.1320037841796875,0.7795202840556911,2025-06-23,2025-06-24 00:30:36
GBP/USD,1.3501107692718506,0.002438187599182129,0.18091839459670273,2025-06-23,2025-06-24 00:30:36
USD/CNY,7.178500175476074,-0.00950002670288086,-0.13216508675112504,2025-06-23,2025-06-24 00:30:36
