indicator_name,indicator_value,change_rate,period,date,collected_at
소비자물가지수,115.71,0.696197023757721,M,2025-01-01 00:00:00,2025-06-24 00:30:57.513483
생산자물가지수,120.27,0.6275100401606426,M,2025-01-01 00:00:00,2025-06-24 00:30:57.662430
실업률,2.8,-6.666666666666672,M,2024-03-01 00:00:00,2025-06-24 00:30:57.898343
경제성장률,-0.219,-380.7692307692308,Q,2025-01-01 00:00:00,2025-06-24 00:30:58.014842
미국_CPI,320.58,0.08085639093283228,M,2025-05-01 00:00:00,2025-06-24 00:30:58.543776
미국_PPI,259.033,0.16627804008461108,M,2025-05-01 00:00:00,2025-06-24 00:30:58.886435
미국_실업률,4.2,0.0,M,2025-05-01 00:00:00,2025-06-24 00:30:59.363922
미국_소비자신뢰지수,52.2,-8.421052631578943,M,2025-04-01 00:00:00,2025-06-24 00:30:59.671577
글로벌_PMI,20.209999084472656,-1.9883692438102978,D,2025-06-23 00:00:00-05:00,2025-06-24 00:30:59.874276
