year,quarter,stock_code,stock_name,매출액,영업이익,법인세차감전순이익,당기순이익,자산총계,부채총계,자본총계,자본금,이익잉여금
2023,4Q,000590,CS홀딩스,171965239524.0,19128717935.0,27218097586.0,22145557927.0,383909710687.0,36702819606.0,347206891081.0,5772410000.0,232078895872.0
2023,4Q,001040,CJ,41352688159000.0,2039057889000.0,985934697000.0,524667990000.0,47203762893000.0,29310944319000.0,17892818574000.0,179047370000.0,4062667674000.0
2023,4Q,001460,BYC,168401523886.0,27498394275.0,28975644832.0,23666593032.0,685663060325.0,150742490158.0,534920570167.0,4200000000.0,523328102093.0
2023,4Q,011150,CJ씨푸드,148348807287.0,4139339998.0,4939186258.0,4435393624.0,168208968603.0,90158644701.0,78050323902.0,18065386500.0,61712537212.0
2023,4Q,024110,기업은행,,3432281000000.0,3493037000000.0,2675188000000.0,448427279000000.0,416610518000000.0,31816761000000.0,4211365000000.0,21889945000000.0
2023,4Q,027410,BGF,443173612089.0,70546076287.0,79932338898.0,69136637008.0,2171266453121.0,270623116664.0,1900643336457.0,95716791000.0,824655828956.0
2023,4Q,079160,CJ CGV,1545839243146.0,49065796701.0,-117502067835.0,-123353396404.0,3194214710432.0,2932973509969.0,261241200463.0,61215781000.0,-1243021793153.0
2023,4Q,095570,AJ네트웍스,1001975993554.0,78385856886.0,29019629173.0,16472354950.0,1622157341878.0,1202505532188.0,419651809690.0,46822295000.0,245359592683.0
2023,4Q,097950,CJ제일제당,29023472909000.0,1291582413000.0,732033865000.0,559462096000.0,29606279551000.0,17826337301000.0,11779942250000.0,81908095000.0,5731488854000.0
2023,4Q,138930,BNK금융지주,,801174464908.0,875560552422.0,678904864314.0,145783633894264.0,135109931812961.0,10673702081303.0,1629676230000.0,7121660935167.0
2023,4Q,267260,HD현대일렉트릭,2702799337370.0,315218290721.0,310516406757.0,259455508262.0,2910160077690.0,1853129751520.0,1057030326170.0,180235675000.0,396620702346.0
2023,4Q,282330,BGF리테일,8194753978897.0,253187753623.0,248351308976.0,195844952003.0,3219078523118.0,2144625475397.0,1074453047721.0,17283906000.0,712263642465.0
2024,1Q,000120,CJ대한통운,2921425893480.0,109365332567.0,75266536762.0,55434587929.0,9483787045856.0,5582547509213.0,3901239536643.0,114061720000.0,1148740753672.0
