stock_code,stock_name,open_price,high_price,low_price,close_price,volume,change_amount,change_rate,market_cap,base_date,collected_at
005930,삼성전자,58400.0,58500.0,57600.0,58000.0,16423941,-1500.0,-2.5210084033613445,343338999476000.0,2025-06-23,2025-06-24 00:30:43.608148
000660,SK하이닉스,252500.0,263000.0,248500.0,259500.0,3315600,2500.0,0.9727626459143969,188916613717500.0,2025-06-23,2025-06-24 00:30:44.443400
207940,삼성바이오로직스,1003000.0,1003000.0,990000.0,992000.0,70626,-24000.0,-2.3622047244094486,70604608000000.0,2025-06-23,2025-06-24 00:30:45.238573
373220,LG에너지솔루션,298500.0,300000.0,291000.0,294000.0,193331,-11000.0,-3.606557377049181,68796000000000.0,2025-06-23,2025-06-24 00:30:46.275861
035420,NAVER,276500.0,295000.0,270000.0,290000.0,4944756,20500.0,7.606679035250464,45946732320000.0,2025-06-23,2025-06-24 00:30:47.259420
034020,두산에너빌리티,59100.0,69400.0,59100.0,68600.0,28367599,8400.0,13.953488372093023,43942494615600.0,2025-06-23,2025-06-24 00:30:48.675078
012450,한화에어로스페이스,947000.0,953000.0,918000.0,919000.0,243428,-19000.0,-2.025586353944563,43465208719000.0,2025-06-23,2025-06-24 00:30:49.459901
005380,현대차,205500.0,206000.0,200500.0,201500.0,935001,-8500.0,-4.0476190476190474,41258689849000.0,2025-06-23,2025-06-24 00:30:50.241625
105560,KB금융,107100.0,108200.0,105600.0,107600.0,1345668,1100.0,1.0328638497652582,41045322282800.0,2025-06-23,2025-06-24 00:30:51.052995
005935,삼성전자우,48000.0,48050.0,47400.0,47800.0,1384754,-900.0,-1.8480492813141685,39003588939200.0,2025-06-23,2025-06-24 00:30:51.487352
329180,HD현대중공업,435500.0,440000.0,430500.0,433500.0,189400,-9500.0,-2.144469525959368,38483145786000.0,2025-06-23,2025-06-24 00:30:51.902297
000270,기아,97000.0,97000.0,94400.0,95900.0,867116,-2800.0,-2.8368794326241136,38136805408800.0,2025-06-23,2025-06-24 00:30:52.312704
068270,셀트리온,160400.0,160800.0,158400.0,159000.0,427725,-3200.0,-1.972872996300863,35365727322000.0,2025-06-23,2025-06-24 00:30:52.713581
035720,카카오,67000.0,68900.0,65600.0,67600.0,12708128,1000.0,1.5015015015015014,29863415467600.0,2025-06-23,2025-06-24 00:30:53.187399
055550,신한지주,58800.0,60700.0,58800.0,60100.0,1172294,800.0,1.3490725126475547,29800108106500.0,2025-06-23,2025-06-24 00:30:53.608571
028260,삼성물산,158200.0,162500.0,158000.0,161600.0,389793,-300.0,-0.1852995676343422,27468209510400.0,2025-06-23,2025-06-24 00:30:54.027347
009540,HD한국조선해양,371000.0,377000.0,368000.0,375500.0,186548,0.0,0.0,26575305058000.0,2025-06-23,2025-06-24 00:30:54.459727
042660,한화오션,87000.0,88200.0,86000.0,86300.0,1907520,-2300.0,-2.595936794582393,26443475902200.0,2025-06-23,2025-06-24 00:30:54.951311
012330,현대모비스,285000.0,285500.0,278000.0,280500.0,238590,-11000.0,-3.7735849056603774,25748523867000.0,2025-06-23,2025-06-24 00:30:55.434065
032830,삼성생명,124900.0,126500.0,123500.0,124400.0,315378,-2800.0,-2.20125786163522,24880000000000.0,2025-06-23,2025-06-24 00:30:55.873546
