report_id,stock_code,stock_name,report_title,report_date,report_type,analyst_name,company_name,rating,opinion_change,target_price,current_price,upside_potential,investment_rationale,created_at
7982c7fb-e34f-41e5-aa10-271b024c394d,001040,Earnings Review CJ BUY (유지),실적 밋밋했지만 하방리스크보다 상승포텐셜 더 크다,2025-05-19,기업분석,최정욱,하나증권,매수,유지,180000.0,124500,44.6,"실적 밋밋했지만 하방리스크보다 상승포텐셜 더 크다 내수경기 둔화 영향 및 비용 부담 등에 따른 자회사 실적 부진으로 컨센서스 하회 CJ에 대한 투자의견 매수와 목표주가 180,000원을 유지. CJ의 1분기 연결기준 매출은 YoY 1.6% 증가한 10조 6,004억원, 영업이익과 순이익은 YoY 각각 7.2%와 9.5% 감소한 5,350 60일 평균 거래량(천주) 169.3 에 따른 자회사들의 전반적인 수익성 약화 때문. 1) CJ제일제당은 해외식품 매출이 YoY 8% 외국인지분율(%) 11.36 성장해 처음으로 국내 매출을 상회했음에도 국내 원재료비 부담 및 선물세트 매출 비중 감 소로 영업이익이 YoY 7.8% 감소했고, 2) 대한통운은 주7일 배송서비스 '매일 오네' 시행 초 국민연금공단 12.68 기 원가 반영 영향으로 영업이익이 854억원으로 YoY 21.9% 감소. 3) CJ ENM은 TV 광고 매 Consensus Data 출 부진과 더불어 티빙 제작비 증가 및 네이버 멤버십 제휴 종료 영향 등으로 커머스를 제 매출액(십억원) 45,696.6 48,247.1 외한 대부분 사업부문에서 적자를 기록(특히 미디어 부문은 상당폭의 적자전환). 다만 자회 영업이익(십억원) 2,914.4 3,088.4 사들의 실적 부진은 주로 일회성 요인과 계절적 비수기의 영향을 받은 것으로 추정되어 비 EPS(원) 9,943 12,686 용 효율화 및 수요 회복 여부에 따라 향후 이익 개선 흐름이 나타날 수 있을 것으로 기대 올리브영 1분기 매출은 QoQ 역성장했지만 2분기에는 다시 큰폭의 회복 기대 비상장사인 CJ올리브영의 1분기 매출은 1조 2,342억원으로 YoY +14.4% 증가했지만 QoQ 영향. 다만 1분기 영업이익률은 13.5% 내외로 추정되어 전년동기 13.4%와 전분기의 경상 영업이익률 12.7%와 비교시 영업이익률 상승 추세는 지속 중. 총매출 중 오프라인과 온라 인 매출은 각각 8,780억원과 3,560억원 내외로 QoQ 모두 감소했고, 외국인 인바운드 매출 도 약 2,000억원으로 전분기대비 200여억원 가량 감소한 것으로 추정. 외국인 인바운드 매 으로 인해 2분기에는 다시 외국인 수요가 큰폭 회복될 공산이 큼. 총매출 중 온라인 비중은 4분기 29.3%에서 1분기 28.9%로 소폭 하락했는데 영미권 중심의 글로벌몰 성장세를 감안 하면 온라인 비중은 다시 확대될 것으로 예상. 올리브영은 CJ에 이익기여도가 큰 주요 자회 사로서 글로벌 유통채널 확장을 통한 외형 성장과 함께 온라인 채널 중심의 고마진 구조 등 으로 중장기적으로 수익성이 계속 개선될 가능성이 높다고 판단. 영업이익과 순이익률이 다 소 크게 하락한 CJ푸드빌은 조지아 생지 공장 건설로 인한 비용 집행 증가의 영향 때문임 1분기 실적은 예상을 하회했지만 하방리스크가 매우 제한적이라는 기존 의견을 계속 유지. 올리브영의 QoQ 매출 역성장은 일시적 현상일 가능성이 높고, 지배구조 관련 이슈가 아직",2025-07-06 10:44:58
c67603fb-d83d-4850-8041-bb8e16db63c1,009830,Update 한화솔루션 BUY (유지),IRA 세액공제 2028년 일몰 보도 관련 코멘트,2025-05-21,기업분석,윤재성,하나증권,매수,유지,50000.0,36400,37.4,"매출액(십억원) 14,775.0 15,715.8 on Rules) 회의는 동부 표준시 5/21일 새벽 1시(한국 5/21일 오후 2시)에 열린다. 5/26일 영업이익(십억원) 718.0 1,263.1 30 100 장기 부정적 vs. 중단기 긍정적 Financial Data (십억원, %, 배, 원) 나, 중단기적으로는 긍정적이다. 부정적인 요소는 (1) 장기적으로 IRC/ITC/PTC 축소가 미국",2025-07-06 10:45:01
1661a5d8-4331-41c6-84ba-ad88edb45392,010690,일 화신 Not Rated,신공장 효과의 시작,2025-05-19,기업분석,송선재,하나증권,Not Rated,유지,,8100,,"Review: 영업이익률 6.4% 기록 Key Data 1Q25 Review: 영업이익률 6.4% 기록 화신의 1분기 매출액/영업이익은 14%/44% (YoY) 증가한 4,735억원/305억원(영업이익률 시가총액비중(%) 0.01 6.4%, +1.3%p (YoY))을 기록했다. 중국 매출액이 고객사 생산 감소의 영향으로 14% 60일 평균 거래량(천주) 367.1 (YoY) 감소했지만, 한국 매출액은 배터리팩 케이스의 가세로 14% (YoY) 증가했고, 미국 외국인지분율(%) 3.08 매출액도 HMGMA향 납품 증가와 환율 상승에 힘입어 26% (YoY) 증가했다. 인도/브라질 매출액도 2%/12% (YoY) 증가했다. 매출총이익률과 영업이익률은 0.8%p/1.4%p (YoY) 상승한 11.5%와 6.4%를 기록했다. 인건비/감가상각비/지급수수료가 각각 10%/7%/35% Consensus Data (YoY) 증가했지만, 외형 성장에 따른 고정비 레버리지 효과가 작용하면서 수익성이 개선 매출액(십억원) 1,950 2,189 되었다. 영업외로는 전년 동기에 있었던 일회성 유형자산처분이익의 감소와 외화환산손익 억원/113억원의 매출액이 발생했고, 2025년 1분기에도 92억원을 기록하면서 한국/연결 매출액 증가에 각각 6%p/2%p 기여했다. 고객사의 생산 증가와 함께 EV4 등 추가 모델 들에 대한 공급으로 2025년 500억원 이상, 2026년 1,000억원 수준의 매출액을 기대한다. 라바마 공장을 운영 중인 화신아메리카에서 대응 중인데, 1분기 매출액/순이익이 1,709억 원/69억원으로 27%/249% (YoY) 증가했고 순이익률도 4.1%로 2.6%p (YoY) 상승했다. 년 1분기 1,513억원으로 증가했다. 화신조지아는 가동을 시작하면 초기 고정비 부담으로 BEP까지 1년반 이상 소요되겠지만, 고객사의 생산 증가로 높은 외형 성장이 예상되고, 미 신공장이 많은 시기. 이익률보다는 매출액 증가에 맞춰 주가 모멘텀이 회복 2025년 매출액/영업이익은 8%/8% 증가한 1.85조원/705억원(영업이익률 3.8%, +0.0%p) 으로 전망한다. 한국 BPC 공장이 온기 기여하고, 미국 조지아 공장도 가동을 시작하면서 외형 성장률이 높아질 것이다. 반면, 이익률은 1분기보다는 하락하는데, 2분기 이후 미국 문이다. 다만, 이는 신공장 초기의 자연스러운 현상이고, 가동률 상승에 맞춰 수익성이 개 선될 것인 바 이익률보다는 매출액 증가에 맞춰 주가 모멘텀도 회복될 것이다.",2025-07-06 10:45:03
86d186c1-2f85-4734-8db9-3efc4018f75b,009900,일 명신산업 Not Rated,고객사의 신차가 잘 되길 바라고 있어요,2025-05-19,기업분석,송선재,하나증권,Not Rated,유지,,8230,,"Review: 영업이익률 8.4% 기록 1Q25 Review: 영업이익률 8.4% 기록 명신산업의 1분기 매출액/영업이익은 전년 동기대비 10%/32% 감소한 3,596억원/301억 52주 최고/최저(원) 15,460/7,240 원(영업이익률 8.4%, -2.6%p (YoY))을 기록했다. 현대차/기아/기타향 매출액이 7% (YoY) 시가총액비중(%) 0.02 증가한데 비해 글로벌 EV 업체향 매출액(비중 60%)은 원/달러 환율의 상승에도 불구하고 출액이 각각 19%/12%/38% (YoY) 감소했다. 텍사스에 위치한 심원북미의 매출액이 주요주주 지분율(%) 50% (YoY) 감소한 반면, 캘리포니아에 위치한 심원미국의 매출액은 211% (YoY) 증가했 다. 중국에서는 상숙/상해 법인의 매출액이 각각 39%/38% (YoY) 감소했다. 매출총이익 Consensus Data 률과 영업이익률은 각각 2.3%p/2.6%p (YoY) 하락한 13.5%/8.4%를 기록했다. 운반비/ 포장비/지급수수료 등의 감소에도 불구하고, 외형 축소로 고정비 부담이 증가했고, 상대적 매출액(십억원) 1,520 1,690 영업이익(십억원) 126 149 으로 수익성이 좋은 금형 매출액도 감소했기 때문이다. 지역별 영업이익률은 한국/미국/ 연간 매출액은 축소되겠지만, 주력 고객사의 신차 출시로 하반기는 개선될 전망 명신산업은 전체 매출액의 1/3이 현대차/기아/기타향(1Q25에는 40% 비중), 2/3가 글로벌 EV 업체향(1Q25에는 60%)이기 때문에 해당 고객사들의 생산에 따라 외형/수익성이 연동 1%/5% 감소하면서 명신산업의 해당 기업들에 대한 매출액도 각각 +3%/-15% 변동했다 (담당 차종 및 믹스/환율 등으로 차이 발생). 1분기 역시 해당 고객들에 대한 매출액이 산대수가 2% 증가하고, 글로벌 EV 업체의 생산은 소폭 감소할 것으로 예상되는 바 명신 산업의 2025년 매출액/영업이익은 5%/16% 감소한 1.5조원/1,250억원, 영업이익률은 1.1%p 하락한 8.3%로 예상한다. 상반기에는 전년 동기의 기저가 높아 역성장폭이 상대 서 생산이 늘어난다는 점에서 외형이 회복될 전망이다. 수익성 하락은 외형 축소에 따른 관비 -5% (YoY))으로 우려보다는 양호한 수익성을 유지할 것으로 예상한다. Premium이 사라진 Valuation. 핵심 고객의 생산 증가와 함께 주가도 회복 명신산업의 현재 주가는 2025년 예상 실적을 기준으로 P/E 5배 수준이다. 특정 고객들에 대한 의존도가 높다는 약점을 해당 고객들의 고성장이 만회했지만, 2023년 하반기 이후 해당 고객의 생산 감소로 외형/수익성/Valuation에서 모두 부정적 영향을 받았다. 현재",2025-07-06 10:45:04
072bd025-8528-46f0-bc96-30f5e48edf71,043370,일 피에이치에이 BUY (유지),미국 공장이 완공되었어요,2025-05-16,기업분석,송선재,하나증권,매수,유지,15000.0,10000,50.0,"Review: 영업이익률 5.5% 기록 시가총액비중(%) 0.06 출액 증가율이 5%를 기록할 전망이다. 2024년 하반기 완공된 미국 신공장은 주력 성장동 완공될 인도 공장도 2026년 이후 외형 성장에 기여한다. 신공장의 초기 비용과 미국 관세 주요주주 지분율(%) 로 2025년 영업이익은 일시 정체되겠지만, 신공장들의 가동률 상승으로 고정비 레버리지 Consensus Data 이익률이 상승할 전망이다. 현재 주가는 P/E 3배 중반, P/B 0.2배 초반에 불과한 낮은 매출액(십억원) 1,404.4 1,544.8 순이익(십억원) 69.9 75.4 1Q25 Review: 영업이익률 5.5% 기록 피에이치에이의 1분기 매출액/영업이익은 전년 동기대비 +3%/-1% 변동한 2,989억원 Stock Price /163억원(영업이익률 5.5%, -0.2%p (YoY))을 기록했다. 지역별로는 한국/중국/유럽 매출 액이 1%/3%/11% (YoY) 감소했지만, 신공장 가동과 환율 상승에 힘입어 북미 매출액이 24% (YoY) 증가하면서 전체 외형이 성장했다. 제품별로는 래치/힌지 매출액이 -4%/+0% (YoY) 변동했지만, 도어모듈과 전장부품 부문이 각각 17%/2% (YoY) 증가하면서 기여했 다. 영업이익률은 -0.2%p (YoY), +2.0%p (QoQ) 변동한 5.5%를 기록했다. 외형이 성장 했지만, 생산관련 원가의 상승으로 매출원가율이 0.6%p (YoY) 상승했기 때문이다. 전년 4 2025년 매출액/영업이익 +5%/-0% 변동할 전망 피에이치에이의 2025년 매출액/영업이익은 +5%/-0% 변동한 1.21조원/513억원(영업이익 률 4.3%, -0.2%p (YoY))으로 전망한다. 산업수요 둔화 속 고객사들의 생산 증가율이 낮 겠지만, 조지아 신공장의 기여가 본격화되고 환율 상승도 기여하면서 외형 성장률은 5% 로 예상한다. 영업이익률은 소폭 하락할 것으로 예상하는데, 조지아 신공장의 가동률이 상 기 때문이다. 다만, 관세 부담은 미국 내 신공장의 생산이 증가함에 따라 완화될 전망이 서 2024년 1,505억원까지 증가했다. 2024년 하반기부터 본격적인 가동을 시작해 고객사의",2025-07-06 10:45:05
180f86c4-0528-4fa6-883c-7dacb30e3ff7,003230,Earnings Review 삼양식품 BUY (유지),1Q25 Re: 또 한 번 Level-up된 분기 실적,2025-05-16,기업분석,심은주,하나증권,매수,유지,1350000.0,991000,36.2,"1Q25 Re: 또 한 번 Level-up된 분기 실적 Key Data 1Q25 Re: 시장 기대 상회 1분기 연결 매출액 및 영업이익은 각각 5,290억원(YoY 37.1%), 1,340억원(YoY 67.3%)을 기 시가총액비중(%) 0.35 록했다. 시장 기대(OP 1,050억원)를 상회하는 수치이다. ① 라면 수출액은 YoY 43.5% 증가 외국인지분율(%) 17.50 출액은 유통 채널 확장에 기인해 전년대비 77.0% 증가한 1,327억원을 기록했다. 중국 매출 은 전년대비 30.7% 증가한 1,220억원을 기록했다. 일본 및 인니 매출도 전년대비 각각 27%, 50.3% 증가해 전지역에서 고성장을 시현했다. ② 국내 라면은 전년수준과 유사한 매출액(십억원) 2,225.7 2,691.4 고성장 및 효율적인 비용 집행으로 전사 영업마진은 YoY 4.5%p, QoQ 7.1%p 상승했다. 영업이익(십억원) 459.9 578.6 1분기 호실적을 토대로 다시 한 번 추정치를 상향했다. 올해 및 내년 해외 매출을 각각 1.8 조원, 2.3조원으로 예상한다. 상대적으로 ASP가 높은 해외 비중이 확대되면서 영업마진도 기존 예상 대비 빠르게 상승하고 있는 점이 긍정적이다. 2025년 및 2026년 전사 영업마진 은 각각 YoY 4.0%p, 1.0%p 상승할 것으로 추정한다. 밀양2공장이 7월부터 시가동할 것으로 예상된다. 현재 미국 내주요 모던 채널에서의 물량 시작도 못한 상황이다. 상기 감안시, 생산력 확대 이후 실적 Level-up 기조는 이어질 공산 유지한다. 최근 실적 흐름을 보면, 섹터 내 대체 불가한 종목 임에 틀림없다. 추정치 조정",2025-07-06 10:45:06
2b6189e0-30c3-4903-b94f-0dd566586aec,004490,일 세방전지 Not Rated,수요가 많아 증설을 진행,2025-05-19,기업분석,송선재,하나증권,Not Rated,신규,,69500,,"Review: 영업이익률 9.6% 기록 1Q25 Review: 영업이익률 9.6% 기록 KOSPI 지수 (pt) 2,626.87 세방전지의 1분기 매출액/영업이익은 전년 동기대비 13%/10% (YoY) 증가한 5,271억원 /506억원(영업이익률 9.6%, -0.3%p (YoY))을 기록했다. 84% 비중의 차량용 전지류 매출 액은 12% (YoY) 증가했는데, 물량/가격이 +4%/+8% (YoY) 변동한 것으로 파악된다. 이 60일 평균 거래량(천주) 44.2 중 납축전지 매출액은 7% (YoY) 감소했는데, 물량/가격이 각각 +2%/-9% (YoY) 변동했 외국인지분율(%) 26.21 고, EV전지 매출액(=자회사 세방리튬배터리)은 36% (YoY) 증가했는데, 대부분 물량 증가 승했다. 매출총이익률은 1.3%p (YoY) 하락한 17.2%를 기록했다. 주요 원재료 중 납 원가 가 1,970달러/톤으로 5% (YoY) 하락했지만, 원/달러 환율이 9% (YoY) 상승하면서 원화 매출액(십억원) 2,381 2,550 기준 원가는 4% (YoY) 상승한 것이다. 주요 비용들 중 인건비/감가상각비/운반비 등은 각 순이익(십억원) 250 N/A 각 9%/10%/24% (YoY) 증가했다. 이에 따라 영업이익률은 9.6%를 기록했는데, 전년 동 기대비로는 0.3%p (YoY) 하락했지만, 전년 3분기/4분기에 각각 7.0%/6.9%까지 낮아졌 던 것에 비해서는 상승했다. 영업외로는 외화환산손익이 축소되었다. 연결 자회사인 세방리튬배터리(지분율 92.07%)의 1분기 매출액/영업이익/순이익은 각각 +36%/적자확대/적자확대 (YoY) 변동한 799억원/-19억원/-29억원(영업이익률/순이익률 - 생산물량이 31% (YoY) 증가했고 ASP는 4% (YoY) 상승했다(환 효과를 제거할 때 flat). 모 듈 조립의 특성상 수익성은 낮지만, 고객군 확대를 통한 높은 외형 성장이 고정비 레버리 터리인데, Stop&Go 기능을 사용하는 하이브리드차(HEV)의 판매가 늘면서 글로벌 시장 규 모가 연평균 10% 성장 중이다. 전기차용 E-AGM도 개발/적용을 시작했다. 세방전지는 이다. AGM 배터리의 비중 상승은 연결 ASP 및 수익성에 긍정적인 기여를 할 것이다.",2025-07-06 10:45:08
b72f327f-d57c-44d6-b815-8ddc9f3d74f6,100090,Earnings Review SK오션플랜트 BUY (유지),실적은 안정화. 멀티플은 개선 국면,2025-05-19,기업분석,유재선,하나증권,매수,유지,25000.0,19700,26.9,"시가총액비중(%) 0.05 한다. 2026년 예상 EPS에 PER 20배를 적용했다. 1분기 실적은 시장 기대치를 상회했다. 해상 60일 평균 거래량(천주) 308.7 풍력 매출 규모 성자에 비례하여 마진이 정상화되는 과정에 있다. 연간 매출액 가이던스의 외국인지분율(%) 5.25 변화가 제한적이기 때문에 수주잔고를 감안하면 분기 매출액 편차는 크지 않을 것으로 예상 된다. 다만 올해 연간 매출 대부분을 특수선 부문이 차지할 전망이며 기존 잔고 소진 이후 국내외 해상풍력 수주 물량 증가에 따른 매출 Mix 개선이 예상된다. 국내 재생에너지 정책 Consensus Data 제고 기대감으로 멀티플이 확장되는 국면에 있다. 2025년 기준 PER 38.3배, PBR 1.6배이다. 매출액(십억원) 1,050.8 1,103.6 영업이익(십억원) 54.0 84.9 1Q25 영업이익 110억원(YoY +23.4%)으로 컨센서스 상회 1분기 매출액은 2,571억원을 기록하며 전년대비 102.3% 증가했다. 특수선 부문의 매출이 크게 증가하며 외형 성장을 견인했다. 울산급 3번함 매출 인식이 본격화된 영향이다. 해상 풍력은 전년대비 감소했지만 전분기대비로는 개선되는 흐름을 보였다. Hai long 프로젝트 25 상대지수(우) 160 업스코핑 매출이 180억원 인식되었고 Feng miao 프로젝트는 강재절단으로 519억원이 반영 15 100 되었다. 영업이익은 110억원으로 전년대비 23.4% 증가했다. Feng miao 실적 인식에 따른 10 60 이익 성장이 나타났다. 영업이익률은 4.3%을 기록했는데 해상풍력 대비 상대적으로 마진이 0 0 제한적인 특수선 매출 비중이 높았던 영향이다. 앞으로 해상풍력 매출이 회복되는 흐름에 따라 마진도 점차 개선될 것으로 예상된다. 투자지표 2023 2024 2025F 2026F MRO 사업 참여 준비 등 특수선 부문 밸류업 추진 중 매출액 925.8 662.6 1,067.0 1,020.2 영업이익 75.6 41.8 58.1 76.8",2025-07-06 10:45:09
f924da5c-c9f3-42c0-aca3-dbd4d63b23ac,200880,일 서연이화 Not Rated,미국 내 3개의 신규 공장이 돌아간다,2025-05-19,기업분석,송선재,하나증권,Not Rated,신규,,11260,,"Review: 영업이익률 3.7% 기록 1Q25 Review: 영업이익률 3.7% 기록 서연이화의 1분기 매출액/영업이익은 +12%/-13% (YoY) 변동한 10,552억원/386억원(영 52주 최고/최저(원) 22,100/10,290 업이익률 3.7%, -1.0%p (YoY))을 기록했다. 유럽 매출액이 5% (YoY) 감소했지만, 납품 시가총액비중(%) 0.01 모델들을 생산 증가와 신공장 가동, 그리고 환율 상승 등에 힘입어 한국/미국 매출액이 각각 5%/27% (YoY) 증가했다. 중국/인도/멕시코 매출액도 각각 71%/0%/49% (YoY) 증 60일 평균 거래대금(십억원) 1.9 가했다. 고객별로는 매출액 중 89% 비중인 현대차/기아향 매출액이 14% (YoY) 증가했 주요주주 지분율(%) 다. 매출총이익률/영업이익률은 각각 0.7%p/1.1%p (YoY) 하락한 14.9%/3.7%를 기록했 다. 외형 성장에도 영업이익이 전년 동기대비 57억원 감소한 386억원을 기록했다. 대손상 각비(-59억원)/판매보증비(-14억원)의 감소에도 불구하고, 임금 상승에 따른 인건비(+74 영업이익(십억원) N/A N/A 등으로 판관비가 166억원 증가했기 때문이다. 영업외로 외환손익이 감소하면서 세전이익/ 최근 5년간 연결 매출액 2배 증가. 특히, 미주 지역에서 3.2배 증가 서연이화는 최근 5년간 주력 고객사의 생산 증가와 믹스 개선, 그리고 해외 신공장의 신 설 및 타공장 인수 등을 거쳐 연결 매출액이 2019년 1.98조원에서 2024년 4.04조원으로 2배 이상 증가했다. 특히, 성장을 이끈 지역은 미주이다. 서연이화는 현재 미주 지역에서 할 예정이다. 미주 지역의 매출액/매출비중은 2019년 0.46조원/23%에서 2024년 1.48조 원/37%까지 성장했는데, 최근 3년 내 인수/설립된 공장들의 가동률이 상승하면서 관련 매출액/매출비중은 더욱 확대될 전망이다. 미국 관세 영향도 완화시키는 역할을 한다. 신규 공장들의 가동이 많은 시기. 높은 외형 성장이 주가에 더 큰 모멘텀 2025년 매출액/영업이익은 +8%/-0% 변동한 4.35조원/1,540억원, 영업이익률은 0.2%p 하락한 3.5%으로 전망한다. 신공장 가동과 환율 상승으로 외형 성장률이 높은 반면, 신규 공장들의 초기 비용과 미국 수입 관세로 수익성은 하락할 전망이다. 하지만, 이러한 수익 성 하락은 신규 공장 가동이 많은 시기에 나타나는 특징이고, 향후 공장 가동률이 상승함 에 따라 수익성이 개선될 것이란 점에서 주가 모멘텀은 매출액 증가에 맞춰 발현될 수 있",2025-07-06 10:45:10
